pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,win_team
80,39,107,110,25,93,69,92,82,75,0
31,49,116,86,45,70,39,107,65,63,1
102,69,36,110,38,8,39,93,107,88,1
19,15,92,65,33,115,52,107,17,9,1
8,39,107,65,29,102,79,61,20,38,0
70,91,92,110,38,8,69,111,17,75,0
115,52,42,26,61,19,79,92,82,29,1
70,107,92,65,25,115,1,36,26,75,0
8,16,116,20,33,115,39,107,26,45,0
39,52,116,17,38,115,69,36,82,75,1
8,39,92,56,84,42,15,107,17,29,1
8,39,36,20,97,103,25,107,26,61,1
70,39,60,86,97,42,91,107,82,25,1
19,39,61,50,25,115,1,107,26,75,1
115,1,107,20,97,42,39,92,82,75,1
42,35,116,86,9,70,98,92,26,63,0
8,69,107,65,38,39,52,116,17,63,1
84,79,92,17,38,8,39,107,110,61,0
8,39,116,86,38,102,45,107,17,63,1
42,39,107,65,36,115,69,116,50,108,1
115,52,78,17,63,70,35,116,65,45,1
42,39,107,20,29,70,69,92,17,54,0
8,45,107,26,97,42,64,92,17,75,0
8,60,54,82,29,70,39,92,86,25,1
45,69,107,26,68,42,79,92,65,75,1
105,1,92,82,68,102,52,36,26,63,1
102,39,116,26,33,70,52,36,17,45,0
8,69,107,50,63,42,64,61,65,38,0
59,69,36,26,68,8,16,116,65,63,1
70,59,61,26,54,115,107,1,17,88,1
115,16,107,65,75,30,39,92,26,97,1
59,39,76,26,68,42,79,107,17,38,1
115,39,116,110,68,70,1,107,26,63,0
59,39,36,65,75,42,63,76,17,33,0
8,39,107,86,29,70,30,92,65,54,0
42,69,62,17,68,70,3,92,26,25,0
70,74,116,73,97,19,91,61,26,68,1
45,1,92,65,25,115,44,116,50,68,1
8,35,36,107,45,31,52,61,110,54,0
19,39,107,17,33,31,76,36,26,25,1
30,74,61,110,54,45,1,116,56,75,1
102,39,116,17,38,70,45,78,26,9,1
